period,programme,scheme,scheme_description,basis,recipients
2016Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121239.0
2016Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,45943.0
2016Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,75429.0
2016Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,59822.0
2016Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,293800.0
2016Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,70524.0
2016Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31068.0
2016Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,43873.0
2016Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1660.0
2016Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,12641.0
2016Q2,Children,CB,Child Benefit,Social Assistance,631889.0
2016Q2,Children,FIS,Family Income Supplement,Social Assistance,60798.0
2016Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,66747.0
2016Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,2787.0
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,123782.0
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,91679.0
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56496.0
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,369231.0
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96610.0
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121415.0
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,47313.0
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,77913.0
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,56863.0
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,296415.0
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,66005.0
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30152.0
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,43712.0
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1639.0
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,13313.0
2016Q3,Children,CB,Child Benefit,Social Assistance,626354.0
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,60950.0
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,69659.0
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3093.0
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,125413.0
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,89940.0
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56358.0
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,373833.0
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96789.0
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121838.0
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,48333.0
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,79648.0
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,53233.0
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,288128.0
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,67116.0
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30457.0
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,43307.0
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,263.0
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1607.0
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,13840.0
2016Q4,Children,CB,Child Benefit,Social Assistance,632617.0
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,61801.0
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,71907.0
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3187.0
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,127503.0
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,90142.0
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56477.0
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,377401.0
2016Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96803.0
2016Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121956.0
2016Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,50178.0
2016Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,82205.0
2016Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,49655.0
2016Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,263334.0
2016Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,59012.0
2016Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30978.0
2016Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42786.0
2016Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,4429.0
2016Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1577.0
2017Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,14446.0
2017Q1,Children,CB,Child Benefit,Social Assistance,632950.0
2017Q1,Children,FIS,Family Income Supplement,Social Assistance,62527.0
2017Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,73839.0
2017Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3212.0
2017Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,129969.0
2017Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,94473.0
2017Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57433.0
2017Q1,Pensions,SPC,State Pension Contributory,Social Insurance,381765.0
2017Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96670.0
2017Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122492.0
2017Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,51791.0
2017Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,84500.0
2017Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,46705.0
2017Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,252945.0
2017Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,65702.0
2017Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29035.0
2017Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42641.0
2017Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,5948.0
2017Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1563.0
2017Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,14603.0
2017Q2,Children,CB,Child Benefit,Social Assistance,633696.0
2017Q2,Children,FIS,Family Income Supplement,Social Assistance,62150.0
2017Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,75195.0
2017Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3291.0
2017Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,131511.0
2017Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,90688.0
2017Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57957.0
2017Q2,Pensions,SPC,State Pension Contributory,Social Insurance,386254.0
2017Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96464.0
2017Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122313.0
2017Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,52989.0
2017Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,86377.0
2017Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,43138.0
2017Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,252499.0
2017Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,61395.0
2017Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29334.0
2017Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42498.0
2017Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6873.0
2017Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1550.0
2017Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,14515.0
2017Q3,Children,CB,Child Benefit,Social Assistance,628155.0
2017Q3,Children,FIS,Family Income Supplement,Social Assistance,62336.0
2017Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,76348.0
2017Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3332.0
2017Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,133968.0
2017Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,91429.0
2017Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58347.0
2017Q3,Pensions,SPC,State Pension Contributory,Social Insurance,391025.0
2017Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96409.0
2017Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122467.0
2017Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,54603.0
2017Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,88460.0
2017Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,39432.0
2017Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,244047.0
2017Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,64557.0
2017Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30063.0
2017Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42167.0
2017Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7144.0
2017Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1527.0
2017Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,9457.0
2017Q4,Children,CB,Child Benefit,Social Assistance,634620.0
2017Q4,Children,FIS,Family Income Supplement,Social Assistance,62289.0
2017Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,76949.0
2017Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3208.0
2017Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,135513.0
2017Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,89128.0
2017Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58606.0
2017Q4,Pensions,SPC,State Pension Contributory,Social Insurance,394454.0
2017Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96608.0
2017Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122558.0
2017Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,56095.0
2017Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,90940.0
2017Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,36041.0
2017Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,222967.0
2017Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,56589.0
2017Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31858.0
2017Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41765.0
2017Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7065.0
2017Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1519.0
2018Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,8974.0
2018Q1,Children,CB,Child Benefit,Social Assistance,635232.0
2018Q1,Children,FIS,Working Family Payment,Social Assistance,62404.0
2018Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,77947.0
2018Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3279.0
2018Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,137506.0
2018Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,95876.0
2018Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59147.0
2018Q1,Pensions,SPC,State Pension Contributory,Social Insurance,398776.0
2018Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96486.0
2018Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122643.0
2018Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,57160.0
2018Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,92839.0
2018Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,33267.0
2018Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,213440.0
2018Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,63083.0
2018Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30276.0
2018Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41670.0
2018Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6338.0
2018Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1520.0
2018Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,8866.0
2018Q2,Children,CB,Child Benefit,Social Assistance,637342.0
2018Q2,Children,FIS,Working Family Payment,Social Assistance,61485.0
2018Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,79243.0
2018Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3316.0
2018Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,139056.0
2018Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,90784.0
