State_UT,Fiscal Year,Scheme,Scheme Description,Estimate,Value,Unit
Uttar Pradesh,2015-16,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Actuals,0.0,In Rs. Crore
Uttar Pradesh,2016-17,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,50.0,In Rs. Crore
Uttar Pradesh,2016-17,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,100.0,In Rs. Crore
Uttar Pradesh,2016-17,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Actuals,92.0,In Rs. Crore
Uttar Pradesh,2017-18,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,50.0,In Rs. Crore
Uttar Pradesh,2017-18,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,50.0,In Rs. Crore
Uttar Pradesh,2017-18,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Actuals,50.0,In Rs. Crore
Uttar Pradesh,2018-19,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,51.0,In Rs. Crore
Uttar Pradesh,2018-19,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,51.0,In Rs. Crore
Uttar Pradesh,2018-19,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Actuals,31.0,In Rs. Crore
Uttar Pradesh,2019-20,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,53.0,In Rs. Crore
Uttar Pradesh,2019-20,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,46.0,In Rs. Crore
Uttar Pradesh,2019-20,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Actuals,47.9,In Rs. Crore
Uttar Pradesh,2020-21,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,30.0,In Rs. Crore
Uttar Pradesh,2020-21,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,20.4,In Rs. Crore
Uttar Pradesh,2020-21,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Actuals,25.0,In Rs. Crore
Uttar Pradesh,2021-22,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,10.0,In Rs. Crore
Uttar Pradesh,2021-22,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,7.0,In Rs. Crore
Uttar Pradesh,2021-22,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Actuals,10.0,In Rs. Crore
Uttar Pradesh,2022-23,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,15.0,In Rs. Crore
Uttar Pradesh,2022-23,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,15.0,In Rs. Crore
Uttar Pradesh,2023-24,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,0.03,In Rs. Crore
Uttar Pradesh,2015-16,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,NA,In Rs. Crore
Uttar Pradesh,2015-16,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,5.0,In Rs. Crore
Uttar Pradesh,2015-16,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Actuals,3.6,In Rs. Crore
Uttar Pradesh,2016-17,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,10.0,In Rs. Crore
Uttar Pradesh,2016-17,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,21.6,In Rs. Crore
Uttar Pradesh,2016-17,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Actuals,8.8,In Rs. Crore
Uttar Pradesh,2017-18,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,10.0,In Rs. Crore
Uttar Pradesh,2017-18,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,9.5,In Rs. Crore
Uttar Pradesh,2017-18,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Actuals,7.5,In Rs. Crore
Uttar Pradesh,2018-19,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,10.0,In Rs. Crore
Uttar Pradesh,2018-19,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,9.2,In Rs. Crore
Uttar Pradesh,2018-19,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Actuals,9.0,In Rs. Crore
Uttar Pradesh,2019-20,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,10.0,In Rs. Crore
Uttar Pradesh,2019-20,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,8.6,In Rs. Crore
Uttar Pradesh,2019-20,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Actuals,8.7,In Rs. Crore
Uttar Pradesh,2020-21,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,10.0,In Rs. Crore
Uttar Pradesh,2020-21,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,6.8,In Rs. Crore
Uttar Pradesh,2020-21,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Actuals,7.8,In Rs. Crore
Uttar Pradesh,2021-22,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,11.0,In Rs. Crore
Uttar Pradesh,2021-22,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,7.5,In Rs. Crore
Uttar Pradesh,2021-22,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Actuals,8.6,In Rs. Crore
Uttar Pradesh,2022-23,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,0.01,In Rs. Crore
Uttar Pradesh,2022-23,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Revised Estimates,0.01,In Rs. Crore
Uttar Pradesh,2023-24,Kishori Swasthya Suraksha Yojana,Uttar pradesh government started the Kishori Suraksha Yojana to make girl students understand the importance of cleanliness and menstrual hygiene. Under this scheme  sanitary napkins are distributed to the girl students of government and council schools.,Budget Estimates,0.01,In Rs. Crore
Uttar Pradesh,2015-16,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,NA,In Rs. Crore
Uttar Pradesh,2015-16,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,NA,In Rs. Crore
Uttar Pradesh,2015-16,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Actuals,NA,In Rs. Crore
Uttar Pradesh,2016-17,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,NA,In Rs. Crore
Uttar Pradesh,2016-17,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,NA,In Rs. Crore
Uttar Pradesh,2016-17,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Actuals,NA,In Rs. Crore
Uttar Pradesh,2017-18,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,NA,In Rs. Crore
Uttar Pradesh,2017-18,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,NA,In Rs. Crore
Uttar Pradesh,2017-18,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Actuals,NA,In Rs. Crore
Uttar Pradesh,2018-19,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,NA,In Rs. Crore
Uttar Pradesh,2018-19,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,NA,In Rs. Crore
Uttar Pradesh,2018-19,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Actuals,NA,In Rs. Crore
Uttar Pradesh,2019-20,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,1200.0,In Rs. Crore
Uttar Pradesh,2019-20,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,1080.0,In Rs. Crore
Uttar Pradesh,2019-20,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Actuals,73.1,In Rs. Crore
Uttar Pradesh,2020-21,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,1200.0,In Rs. Crore
Uttar Pradesh,2020-21,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,1080.0,In Rs. Crore
Uttar Pradesh,2020-21,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Actuals,70.9,In Rs. Crore
Uttar Pradesh,2021-22,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,1200.0,In Rs. Crore
Uttar Pradesh,2021-22,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,1134.3,In Rs. Crore
Uttar Pradesh,2021-22,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Actuals,80.9,In Rs. Crore
Uttar Pradesh,2022-23,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,1200.0,In Rs. Crore
Uttar Pradesh,2022-23,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Revised Estimates,1200.0,In Rs. Crore
Uttar Pradesh,2023-24,Kanya Sumangla Yojana,The Chief Minister Kanya Sumangala Yojana launched by the Government of Uttar Pradesh with the aim of providing new opportunities for development along with social security to girls and women. Under the scheme social ills will be curbed and girl children will get an opportunity to move towards higher education and employment opportunities. ,Budget Estimates,1050.0,In Rs. Crore
Uttar Pradesh,2015-16,Sabri Sankalp Abhiyaan,The Sabri Sankalp Abhiyaan was launched in Uttar pradesh to eradicate malnutrition initially started in 29 districts. Under this scheme the amount is directly transferred to the beneficiary's account.,Budget Estimates,NA,In Rs. Crore
Uttar Pradesh,2015-16,Sabri Sankalp Abhiyaan,The Sabri Sankalp Abhiyaan was launched in Uttar pradesh to eradicate malnutrition initially started in 29 districts. Under this scheme the amount is directly transferred to the beneficiary's account.,Revised Estimates,NA,In Rs. Crore
Uttar Pradesh,2015-16,Sabri Sankalp Abhiyaan,The Sabri Sankalp Abhiyaan was launched in Uttar pradesh to eradicate malnutrition initially started in 29 districts. Under this scheme the amount is directly transferred to the beneficiary's account.,Actuals,NA,In Rs. Crore
